Sylvanas Windrunner, , legendary, , , 
Dumas, , common, , , 
Clarice Foster, , common, , , 
Gunter Hansen, , common, , , 
Stephan Frank, , common, , , 
Jekyll Flandring, , common, , , 
Anya Eversong, , common, , , 
Kristine Denny, , common, , , 
Miles Dexter, , common, , , 
Austil de Mon, , common, , , 
Arthura, , common, , , 
Mary Darrow, , common, , , 
Bat Handler Adeline, , common, , , 
Deathguard Oliver, , common, , , 
Undertaker Mordo, , common, , , 
Stalvan Mistmantle, , uncommon, , , 
Estelle Gendry, , uncommon, , , 
Master Apothecary Faranell, , uncommon, , , 
Galen Trollbane, , uncommon, , , 
Alexi Barov, , uncommon, , , 
Vincent Godfrey, , uncommon, , , 
Agatha, , uncommon, , , 
Dark Ranger Velonara, , uncommon, , , 
Grand Apothecary Putress, , rare, , , 
Meryl Felstorm, , rare, , , 
Delaryn Summermoon, , rare, , , 
Calia Menethil, , rare, , , 
Deathstalker Commander Belmont, , rare, , , 
Nathanos Blightcaller, , epic, , , 
Lilian Voss, , epic, , , 
The Lich King, , legendary, , , 
King Ymiron, , common, , , 
Morbent Fel, , common, , , 
Abercrombie, , common, , , 
Devlin Agamand, , common, , , 
Mor’Ladim, , common, , , 
Grand Widow Faerlina, , common, , , 
Doctor Theolen Krastinov, , common, , , 
Scourgelord Tyrannus, , common, , , 
Patchwerk, , common, , , 
Stitches, , common, , , 
Marwyn, , common, , , 
Falric, , common, , , 
Elder Nadox, , common, , , 
Rattlegore, , common, , , 
Lady Deathwhisper, , uncommon, , , 
Darkmaster Gandring, , uncommon, , , 
Lord Marrowgar, , uncommon, , , 
Thaddius, , uncommon, , , 
Noth Plaguebringer, , uncommon, , , 
Amnennar the Coldbringer, , uncommon, , , 
Thule Ravenclaw, , uncommon, , , 
Dar’khan Drathir, , uncommon, , , 
Sindragosa, , rare, , , 
Professor Putricide, , rare, , , 
Baron Rivendare, , rare, , , 
Blood Queen Lana’thel, , rare, , , 
Mal’Ganis, , rare, , , 
Anub’Arak, , epic, , , 
Kel’Thuzad, , epic, , , 
Varian Wrynn, , legendary, , , 
Vandarr Stormpike, , common, , , 
Gryan Stoutmantle, , common, , , 
John J. Keeshan, , common, , , 
T’paartos, , common, , , 
Tandred Proudmoore, , common, , , 
Darius Crowley, , common, , , 
Lorna Crowley, , common, , , 
Tess Greymane, , common, , , 
Taelia Fordragon, , common, , , 
Yrel, , common, , , 
Arechron, , common, , , 
Ivar Bloodfang, , common, , , 
Danath Trollbane, , common, , , 
Azurathel, , common, , , 
Moira Thaurissan, , uncommon, , , 
Falstad Wildhammer, , uncommon, , , 
Daelin Proudmoore, , uncommon, , , 
Jes-Tereth, , uncommon, , , 
Sarah Ladimore, , uncommon, , , 
Mathias Shaw, , uncommon, , , 
Aysa Cloudsinger, , uncommon, , , 
Genn Greymane, , uncommon, , , 
Uther Lightbringer, , rare, , , 
Anduin Lothar, , rare, , , 
Muradin Bronzebeard, , rare, , , 
Gelbin Mekkatorque, , rare, , , 
Turalyon, , rare, , , 
Jaina Proudmoore, , epic, , , 
Anduin Wrynn, , epic, , , 
Kael’thas Sunstrider, , legendary, , , 
Scout Captain Dae’lin, , common, , , 
Belo’vir Salonar, , common, , , 
Voldana, , common, , , 
Thalorien Dawnseeker, , common, , , 
Dar’Khan the Traitor, , common, , , 
Dollmaster Dorian, , common, , , 
Asvedon the Great Shield, , common, , , 
Lynessa Sunsorrow, , common, , , 
Dragoncaller Alanna, , common, , , 
Arcanist Dawngrasp, , common, , , 
Solanar Bloodwrath, , common, , , 
Al’Ar, , common, , , 
Master Pyreanor, , common, , , 
Astromancer Solarian, , uncommon, , , 
Halduron Brithwing, , uncommon, , , 
Arator Windrunner, , uncommon, , , 
Lord Marrowgar, , uncommon, , , 
Thae’thelan Bloodwatcher, , uncommon, , , 
Voren’thal the Seer, , uncommon, , , 
Astalor Bloodsworn, , uncommon, , , 
Vereesa Windrunner, , uncommon, , , 
Aethas Sunreaver, , rare, , , 
Dath’Remar Sunstrider, , rare, , , 
Grand Magister Rommath, , rare, , , 
Valeera Sanguinar, , rare, , , 
Alleria Windrunner, , rare, , , 
Anasterian Sunstrider, , epic, , , 
Lor’themar Theron, , epic, , , 
Lady Liadrin, , epic, , , 
Tyrande Whisperwind, , legendary, , , 
Sentinel Daressa, , common, , , 
Kurtrus Ashfallen, , common, , , 
Priestess A’moora, , common, , , 
Ellandrieth, , common, , , 
Chardryn, , common, , , 
Sira Moonwarden, , common, , , 
Moon Priestess Lasara, , common, , , 
Astaia, , common, , , 
Mythrin’dir, , common, , , 
Leora, , common, , , 
Saelienne, , common, , , 
Cylania, , common, , , 
Naralex, , common, , , 
Lady Anacondra, , uncommon, , , 
Astarii Starseeker, , uncommon, , , 
Kur’talos Ravencrest, , uncommon, , , 
Prince Toreth, , uncommon, , , 
Fandral Staghelm, , uncommon, , , 
Su’ura Swiftarrow, , uncommon, , , 
Mordent Evershade, , uncommon, , , 
Prince Farondis, , uncommon, , , 
Raene Wolfrunner, , rare, , , 
Broll Bearmantle, , rare, , , 
Jarod Shadowsong, , rare, , , 
Shandris Feathermoon, , rare, , , 
